Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2905;Lechfeld;TT_TU;08.11.2006-02:00;08.11.2006-02:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;04.12.2006-14:00;04.12.2006-14:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;28.12.2006-12:00;28.12.2006-19:00;8;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;13.03.2007-04:00;13.03.2007-04:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;30.04.2007-21:00;30.04.2007-21:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;17.05.2007-23:00;17.05.2007-23:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;26.05.2007-02:00;26.05.2007-02:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;04.06.2007-14:00;04.06.2007-14:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;08.06.2007-08:00;08.06.2007-08:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;01.09.2007-09:00;01.09.2007-09:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;02.09.2007-01:00;02.09.2007-01:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;26.09.2007-13:00;26.09.2007-13:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;27.09.2007-00:00;27.09.2007-00:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;22.10.2007-00:00;22.10.2007-00:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;31.10.2007-12:00;31.10.2007-12:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;20.11.2007-05:00;20.11.2007-05:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;27.11.2007-16:00;27.11.2007-16:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;02.12.2007-04:00;02.12.2007-04:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;10.02.2008-01:00;10.02.2008-01:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;29.02.2008-11:00;29.02.2008-11:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;02.03.2008-01:00;02.03.2008-01:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;05.03.2008-11:00;05.03.2008-11:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;17.05.2008-05:00;17.05.2008-05:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;29.05.2008-13:00;29.05.2008-13:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;30.05.2008-00:00;30.05.2008-00:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;14.06.2008-22:00;14.06.2008-22:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;25.07.2008-12:00;25.07.2008-17:00;6;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;11.09.2008-16:00;11.09.2008-17:00;2;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;17.03.2009-01:00;17.03.2009-01:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;17.03.2009-08:00;17.03.2009-08:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;21.03.2009-12:00;21.03.2009-19:00;8;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;22.03.2009-07:00;22.03.2009-09:00;3;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;22.03.2009-20:00;23.03.2009-03:00;8;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;23.03.2009-23:00;23.03.2009-23:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;27.03.2009-00:00;27.03.2009-03:00;4;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;05.04.2009-11:00;05.04.2009-17:00;7;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;17.04.2009-11:00;17.04.2009-17:00;7;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;18.04.2009-05:00;18.04.2009-10:00;6;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;18.04.2009-19:00;19.04.2009-04:00;10;;eor;                                                                                                                                          
2905;Lechfeld;TT_TU;23.04.2009-03:00;23.04.2009-03:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;24.04.2009-00:00;24.04.2009-00:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;04.05.2009-19:00;04.05.2009-19:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;13.05.2009-00:00;13.05.2009-00:00;1;;eor;                                                                                                                                           
